Ssn, Bdate, Sex, Salary, Super_ssn, Dno
8, 720731, 0, 55000, 0, 1
7, 551208, 1, 43000, 8, 4
6, 551208, 0, 40000, 8, 5
5, 620915, 0, 38000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
4, 271110, 0, 30000, 6, 5
1, 551208, 1, 25000, 7, 4
3, 690329, 0, 25000, 7, 4
2, 650109, 1, 25000, 6, 5
1, 551208, 1, 25000, 7, 4
115, 467, 259, 487, 451, 144
339, 302, 128, 478, 182, 204
289, 262, 56, 470, 386, 4
481, 125, 303, 461, 455, 337
18, 111, 63, 426, 433, 302
166, 445, 389, 423, 23, 171
149, 493, 299, 419, 240, 250
248, 284, 330, 403, 245, 137
141, 57, 73, 400, 396, 24
397, 370, 418, 395, 451, 204
90, 1, 254, 392, 3, 400
443, 483, 43, 378, 112, 82
467, 384, 10, 363, 115, 474
47, 387, 350, 346, 307, 90
449, 283, 283, 335, 89, 26
297, 451, 91, 306, 469, 301
124, 340, 34, 306, 243, 132
387, 371, 442, 276, 90, 105
474, 42, 498, 228, 286, 1
490, 52, 257, 225, 430, 112
496, 271, 37, 218, 311, 364
304, 43, 372, 132, 385, 134
240, 411, 83, 129, 187, 458
199, 344, 328, 124, 96, 77
300, 74, 329, 94, 351, 271
489, 425, 370, 40, 475, 396
336, 264, 9, 18, 210, 212
7, 8, 9, 10, 11, 12
1, 2, 3, 4, 3, 2
1, 2, 3, 4, 5, 6
2, 2, 2, 2, 2, 2
1, 2, 2, 1, 2, 2
